type,title_ru,description_ru,title_ua,description_ua,title_en,description_en,coords
gym,"Спортивный комплекс, ОНПУ","Шампанский переулок, 11",,,,,"30.751578,46.450235"
gym,УТОГ Спортивный комплекс,"Сегедская, 5Б",,,,,"30.744589,46.450893"
gym,"Технолог Спортивный комплекс, ОНАПТ","Канатная, 124",,,,,"30.743691,46.457214"
gym,"""Pride and glory"" Сеть спортивных клубов","Семинарская, 11а",,,,,"30.743439,46.461466"
highschool,Одесский национальный университет им. И.И. Мечникова,"Французский бульвар, 24/26",,,,,"30.759294,46.455159"
highschool,Одесский национальный политехнический университет,"Шевченко проспект, 1",,,,,"30.750769,46.460982"
highschool,Нац. университет Одесская юридическая академия,"Фонтанская дорога, 23",,,,,"30.744517,46.441349"
highschool,Одесский региональный институт госуправления,"Генуэзская, 22",,,,,"30.756088,46.438337"
highschool,Южноукраинский нац. педуниверситет им. К.Д. Ушинского,"Фонтанская дорога, 4",,,,,"30.738714,46.448347"
highschool,Одесский государственный экологический университет,"Отрада пляж, 20",,,,,"30.764963,46.477486"
highschool,Одесский государственный аграрный университет,"Канатная, 99",,,,,"30.746062,46.46182"
kinderGarden,Детский сад-ясли №248,"Французский бульвар, 69",,,,,"30.763705,46.448198"
kinderGarden,Детский сад-ясли №137,"Французский бульвар, 46",,,,,"30.762996,46.447044"
kinderGarden,"""Почемучки"" Частный детский сад","Шевченко проспект, 27а/1",,,,,"30.756222,46.450341"
kinderGarden,"""Пуговки"" Центр гармоничного развития ребенка","Шевченко проспект, 12/2",,,,,"30.753581,46.449484"
kinderGarden,"""Элит-М"" Сеть частных детских садов","Французский бульвар, 17 к5",,,,,"30.75713,46.464228"
kinderGarden,Детский сад-ясли №162,"Французский бульвар, 12/4",,,,,"30.754273,46.460597"
kinderGarden,"""Джерельце"" Детский сад №5","Гагарина проспект, 10а",,,,,"30.751587,46.458201"
kinderGarden,Дошкольное учебное заведение №154,"Сегедская, 9а",,,,,"30.744203,46.449633"
restaurant,"Поляна сказок, детское кафе","Французский бульвар, 22",,,,,"30.758881,46.456295"
restaurant,"True Man Hot Boat, арт-клуб","Дельфин пляж, 3/2",,,,,"30.732597,46.484579"
restaurant,"Глечик 1968, семейный ресторан","Дельфин пляж, 2",,,,,"30.732597,46.484579"
